1 3 0
0 5 0
1 5 0
0 3 0
1 3 0
0 5 0
1 5 0
0 3 0
5 2 0
0 5 0
5 5 0
0 2 0
5 2 0
0 5 0
5 5 0
0 2 0
6 3 0
0 6 0
6 6 0
0 3 0
6 3 0
0 6 0
6 6 0
0 3 0
4 4 0
0 6 0
4 6 0
0 4 0
4 4 0
0 6 0
4 6 0
0 4 0

1 3 0
0 5 0
1 5 0
0 3 0
1 3 0
0 5 0
1 5 0
0 3 0
5 2 0
0 5 0
5 5 0
0 2 0
5 2 0
0 5 0
5 5 0
0 2 0
6 3 0
0 6 0
6 6 0
0 3 0
6 3 0
0 6 0
6 6 0
0 3 0
4 4 0
0 6 0
4 6 0
0 4 0
4 4 0
0 6 0
4 6 0
0 4 0

6 8 8
0 10 7
6 10 6
0 8 3
6 8 0
0 10 0
6 10 0
0 8 0
4 6 9
0 8 8
4 8 7
0 6 8
4 6 0
0 8 0
4 8 0
0 6 0
8 3 10
0 1 9
8 5 8
0 3 5
8 3 0
0 1 0
8 5 0
0 3 0
3 5 3
0 7 4
3 7 5
0 5 7
3 5 0
0 7 0
3 7 0
0 5 0

6 8 8
0 10 7
6 10 6
0 8 3
6 8 0
0 10 0
6 10 0
0 8 0
4 6 9
0 8 8
4 8 7
0 6 8
4 6 0
0 8 0
4 8 0
0 6 0
8 3 10
0 1 9
8 5 8
0 3 5
8 3 0
0 1 0
8 5 0
0 3 0
3 5 3
0 7 4
3 7 5
0 5 7
3 5 0
0 7 0
3 7 0
0 5 0
